Oblast,age,kidsYoN,heaIns2600+,urHeaInsIncrease,heaInsCivServants,heaInsArmy,heaInsPolice,accessHeaPoor,heaInsPregnant,constVsRentInvest,constVsRentInvest2,constVsRentInvest3,municipalHousingSales,municipalHousingSales2,municipalHousingSales3,illegalHousing2,illegalHousing,illegalHousing3,freeMedicCare,skillsEduVsBusiness,vulnKidsEduMeasures,busSeatBG,busSeatTR,busSeatROMA,strHomeBG,strHomeTR,strHomeROMA,eatRestBG,eatResTR,eatResROMA,workplaceBG,workplaceTR,workplaceRoma,serveResBG,serveResTR,serveResROMA,rentBG,rentTR,rentROMA,friendsBG,friendsTR,friendsROMA,marryBG,marryTR,marryROMA,schoolROMAkids,schoolIMIGRkids,teacherTR,teacherROMA,doctorTR,doctorROMA,policeTR,policeROMA,bossTR,bossROMA,armyTR,armyROMA,prosecTR,prosecROMA,govminTR,govminROMA,spoinstrROMA,gender2,gender,monthBirth,yearBirth,familyStatus,education,edu,edu2,ethnicity,ethDetails,еmplStatus,industry,jobClass,job,hshldMembers,hshldU18,netHshldIncome,placeType,plType
Кюстендил,23,Нямам деца,Да,Да,Да,Да,Да,Да,Да,НП,не мога да преценя,не мога да преценя,НП,не мога да преценя,не мога да преценя,"да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Да се осигурят безплатни медицински грижи за всички български граждани,В образователната система,В учителите (квалификация и заплати) и в проекти за качествено образование,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Mъж,Mъжe,12,1994,Неженен/неомъжена, Средно общо – гимназиално,Средно,Средно,НсС, , Безработен, Не работя,Не работя/не съм работил, ,5,0, Без отговор, Село,Село
Перник,19,Нямам деца,Да,Да,Да,Да,Да,Да,Да,НП,не мога да преценя,не мога да преценя,НП,не мога да преценя,не мога да преценя,не мога да преценя,не мога да преценя,не мога да преценя,Не мога да преценя,Не мога да преценя,Не мога да преценя,НП,Не,Не,Не,Не,НП,НП,НП,НП,НП,НП,НП,Да,Не,Не,НП,НП,НП,Да,Не,Не,Да,Да,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Mъж,Mъжe,2,1999,Неженен/неомъжена, Основно,Основно,Основно и по-ниско,НсС, , Безработен, Не работя,Не работя/не съм работил, ,4,1, Без отговор, Малък град ,Малък град
Варна,45,Имам деца,Не,Да,Да,Да,Да,Да,Да,в строеж и закупуване на жилища за социално слаби и останали без дом,в строеж и закупуване на жилища за социално слаби и останали без дом,"в строеж и закупуване на,  жилища за социално слаби,  и останали без дом",да прекратят продажбата на общински жилища,да прекратят продажбата на общински жилища,"да прекратят продажбата,  на общински жилища","да се разрушават годни за обитаване жилища,\nако са незаконно построени","да се разрушават годни за обитаване жилища, ако са незаконно построени","да се разрушават,  годни за обитаване жилища,  ако са незаконно построени",Да се осигурят безплатни медицински грижи за всички български граждани,В образователната система,В учителите (квалификация и заплати) и в проекти за качествено образование,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Не,Не,Да,Mъж,Mъжe,4,1972,В брак," Висше – магистър, бакалавър",Висше,Висше,Друга,Руснак, Работещ на постоянен трудов договор," Туристическа дейност (хотели, ресторанти и други)",Висш управленски персонал,Управител,4,2, От 2000 до 2499 лв, Голям областен град > 100 000 души,Голям областен град > 100 000 души
Бургас,29,Имам деца,НП,Не,НП,Да,Да,НП,Да,в строеж и закупуване на жилища за социално слаби и останали без дом,в строеж и закупуване на жилища за социално слаби и останали без дом,"в строеж и закупуване на,  жилища за социално слаби,  и останали без дом",да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,"да позволяват/насърчават,  наемателите на социални,  жилища да ги закупуват","да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Да се осигурят безплатни медицински грижи за всички български граждани,Не мога да преценя,В контролни органи за налагане на финансови и други санкции срещу безотговорно отношение към образованието,Да,Да,Не,Да,Да,Не,Да,Да,Не,Да,Да,Не,Да,Да,Не,Да,Не,Не,Да,Да,Не,Да,Не,Не,НП,Да,Не,Не,НП,Не,Не,Не,НП,Не,НП,НП,НП,Не,НП,Не,Не,Mъж,Mъжe,4,1988,В брак, Висше – професионален бакалавър (специалист или полувисше),Висше,Висше,Друга,РУСКО БЪЛГАРСКО, Самонает , Търговия и ремонт на техника,Висш управленски персонал,бизнес,3,1, От 2000 до 2499 лв, Голям областен град > 100 000 души,Голям областен град > 100 000 души
София град,43,Имам деца,Не,Не,Да,Не,Не,Не,Да,"да подпомагат социално слабите и останалите без дом с ваучери/пари за наем, вместо с жилища","да подпомагат социално слабите и останалите без дом с ваучери/пари за наем, вместо с жилища","да подпомагат социално слабите,  и останалите без дом,  с ваучери/пари за наем,  вместо с жилища",да прекратят продажбата на общински жилища,да прекратят продажбата на общински жилища,"да прекратят продажбата,  на общински жилища","да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Да се осигурят безплатни медицински грижи за всички български граждани,"В бизнеса, който да ги квалифицира и наема (включително финансови стимули и данъчни облекчения)",В контролни органи за налагане на финансови и други санкции срещу безотговорно отношение към образованието,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Не,Да,Да,Да,Да,Не,Не,Не,Не,Не,Не,Не,Не,Да,Да,Да,Не,Не,Не,Не,Не,Не,Не,Не,Жена,Жени,8,1974,В брак," Висше – магистър, бакалавър",Висше,Висше,Друга,рускиня, Работещ на постоянен трудов договор, Търговия,Квалифициран персонал,продавач консултант,3,1, Без отговор, Столица,Столица
Пловдив,31,Имам деца,Да,Не,Да,Да,Да,Да,Да,в строеж и закупуване на жилища за социално слаби и останали без дом,в строеж и закупуване на жилища за социално слаби и останали без дом,"в строеж и закупуване на,  жилища за социално слаби,  и останали без дом",да прекратят продажбата на общински жилища,да прекратят продажбата на общински жилища,"да прекратят продажбата,  на общински жилища","да се разрушават годни за обитаване жилища,\nако са незаконно построени","да се разрушават годни за обитаване жилища, ако са незаконно построени","да се разрушават,  годни за обитаване жилища,  ако са незаконно построени",Да се осигурят безплатни медицински грижи за всички български граждани,В образователната система,В учителите (квалификация и заплати) и в проекти за качествено образование,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Не,Не,Не,Не,Да,Не,Да,Не,Да,Не,Да,Не,Да,Не,Да,Не,Да,Не,Да,Жена,Жени,5,1986,В брак, Висше – професионален бакалавър (специалист или полувисше),Висше,Висше,Друга,Руска, Безработен, Не работя,Не работя/не съм работил, ,4,2, От 1500 до 1999 лв, Голям областен град > 100 000 души,Голям областен град > 100 000 души
София град,44,Имам деца,Не,Да,Да,Да,Да,Да,Да,в строеж и закупуване на жилища за социално слаби и останали без дом,в строеж и закупуване на жилища за социално слаби и останали без дом,"в строеж и закупуване на,  жилища за социално слаби,  и останали без дом",да прекратят продажбата на общински жилища,да прекратят продажбата на общински жилища,"да прекратят продажбата,  на общински жилища","да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Да не се предоставят безплатни медицински грижи за лицата без здравни осигуровки (с изключение на спешната помощ),"В бизнеса, който да ги квалифицира и наема (включително финансови стимули и данъчни облекчения)",В учителите (квалификация и заплати) и в проекти за качествено образование,Да,Да,Не,Да,Да,Не,Да,Да,Да,Да,Да,Да,Да,Да,Не,Да,Да,Не,Да,Да,Не,Да,Да,Не,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Не,Mъж,Mъжe,2,1974,В брак," Висше – магистър, бакалавър",Висше,Висше,Друга,египет, Самонает ," Лека промишленост (текстилната, шивашката, кожарската и обувната промишленост, хранително-вкусова и др.)",Управленски персонал на средно ниво,управител на заведение,4,2, Без отговор, Столица,Столица
Благоевград,37,Нямам деца,Да,Не,Да,Не,Не,Да,Да,НП,не мога да преценя,не мога да преценя,да прекратят продажбата на общински жилища,да прекратят продажбата на общински жилища,"да прекратят продажбата,  на общински жилища","да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Да не се предоставят безплатни медицински грижи за лицата без здравни осигуровки (с изключение на спешната помощ),"В бизнеса, който да ги квалифицира и наема (включително финансови стимули и данъчни облекчения)",Не мога да преценя,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,НП,НП,НП,Да,Да,Да,НП,Да,Да,Да,Да,Да,Да,Да,НП,НП,Не,НП,НП,Да,Жена,Жени,12,1980,Неженен/неомъжена, Висше – професионален бакалавър (специалист или полувисше),Висше,Висше,Друга,гръцка етническа група, Самонает ," Лека промишленост (текстилната, шивашката, кожарската и обувната промишленост, хранително-вкусова и др.)",Управленски персонал на средно ниво,управител на шивашки цех,2,0, Без отговор, Малък град ,Малък град
София град,49,Нямам деца,Да,Да,Да,Да,Да,Да,Да,НП,не мога да преценя,не мога да преценя,НП,не мога да преценя,не мога да преценя,"да се разрушават годни за обитаване жилища,\nако са незаконно построени","да се разрушават годни за обитаване жилища, ако са незаконно построени","да се разрушават,  годни за обитаване жилища,  ако са незаконно построени",Да се осигурят безплатни медицински грижи за всички български граждани,В образователната система,В учителите (квалификация и заплати) и в проекти за качествено образование,Да,Да,Да,Да,Да,Да,Да,Да,НП,Да,Да,Да,Да,Да,Да,Да,НП,НП,Да,Да,Да,Да,Да,НП,Не,Да,Да,Да,Да,Да,Да,Не,Да,Да,НП,НП,НП,НП,Да,Да,Не,Жена,Жени,4,1968,"В съжителство, без брак"," Висше – магистър, бакалавър",Висше,Висше,Друга,Виетнам, Работещ на постоянен трудов договор," Спорт, изкуство",Експертен персонал без ръководни функции,преподавател по музика,2,0, Без отговор, Столица,Столица
Варна,31,Имам деца,Не,Не,Да,Не,Не,Да,Да,"да подпомагат социално слабите и останалите без дом с ваучери/пари за наем, вместо с жилища","да подпомагат социално слабите и останалите без дом с ваучери/пари за наем, вместо с жилища","да подпомагат социално слабите,  и останалите без дом,  с ваучери/пари за наем,  вместо с жилища",да прекратят продажбата на общински жилища,да прекратят продажбата на общински жилища,"да прекратят продажбата,  на общински жилища","да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Да се осигурят безплатни медицински грижи за всички български граждани,В образователната система,В учителите (квалификация и заплати) и в проекти за качествено образование,Да,Да,Не,Да,Да,Не,Да,Да,Не,Да,Да,Не,Да,Да,НП,Да,НП,НП,Да,Да,Не,Да,Не,Не,НП,НП,НП,Не,НП,НП,НП,Не,Да,Не,Не,Не,Не,Не,Не,Не,Не,Mъж,Mъжe,10,1986,В брак," Средно специално, техническо и СПТУ",Средно,Средно,Друга,Българска и Руска, Работещ на постоянен трудов договор, Услуги                                                      ,Експертен персонал без ръководни функции,Реклама,3,1, От 1000 до 1499 лв, Голям областен град > 100 000 души,Голям областен град > 100 000 души
